Legal Name,U SDOT Number,MC/MX/FF Numbers,Physical Address
KINGSLEY FREIGHT LLC,3424845,MC-1108093,"9674  COLERAIN  AVE  STE  291
CINCINNATI,  OH     45251"
DMR LOGISTICS LLC,3432384,MC-1112488,"410  VENTURA  AVE
CAPITOL  HGTS,  MD     20743"
BROTHERS OF THE SOUTH TRANSPORT LLC,3446538,MC-1120813,"104  OAK  VIEW  RD
CAMERON,  SC     29030"
CAPITAL J LOGISTICS LLC,3511505,MC-1162471,"390  PARK  AVE
PATERSON,  NJ     07504"
PAYAM TRANSPORTATION INC,3519609,MC-1167781,"3777  S  GESSNER  RD  APT  1703
HOUSTON,  TX     77063"
WHITE HAWK USA INC,3545717,MC-1185567,"5637  PIONEER  RD
HUGHSON,  CA     95326"
MAMBA SECURITY LLC,3584287,MC-1211828,"5412  LAVINIA  AVE
LYNWOOD,  CA     90262"
M&R TRANSPORT INC,3584633,MC-1212050,"1860  SOUTHPORT  AVE
LIVINGSTON,  CA     95334"
S & G HAULERS LLC,3585695,MC-1212753,"5346  RAVEN  ROW
DALLAS,  TX     75236"
RITE TRANS LLC,3275478,MC-1214392,"1371  NOTT  ST
SCHENECTADY,  NY     12308"
DRIVE LOGISTICS LLC,3603831,MC-1225069,"11288  EASTWOOD  CT
BAILEY,  NC     27807"
LEGION LOGISTICS INC,3625172,MC-1239791,"2024  4TH  ST
CUYAHOGA  FALLS,  OH     44221"
DESMORE RUSHELL WILLIAMS,3651013,MC-1258455,"113  CAMP  CT
MARION,  SC     29571"
K & E SAFE DELIVERY SVC LLC,3665064,MC-1268666,"1501  NE  2ND  AVE
FT  LAUDERDALE,  FL     33304"
MIDNIGHT LOGISTICS LLC,3665145,MC-1268716,"360  E  BIRCH  AVE  APT  5B
BARRON,  WI     54812"
THOSE GO GETTERS LLC,3665587,MC-1269030,"7779  PINE  CENTER  DR
HOUSTON,  TX     77095"
ACKO CORPORATION,3666828,MC-1269933,"10277  JENNICK  WAY
ELK  GROVE,  CA     95757"
PINK SCORPIONTRANS LLC,3671626,MC-1273415,"211  PAULINE  DR  #  1007
YORK,  PA     17402"
#TEAMKING TRUCKING LLC,3680920,MC-1280267,"6385  POLAR  FOX  CT
RIVERDALE,  GA     30296"
MASAFA LLC,3682591,MC-1281544,"1113  HARPETH  MILL  CT
NASHVILLE,  TN     37221"
CDF HS LLC,3688422,MC-1285796,"3265  N  CARL  G  ROSE  HWY
HERNANDO,  FL     34442"
OTHI TRANSPORT INC,3690028,MC-1286961,"9100  ACACIA  AVE  APT  10
FONTANA,  CA     92335"
N & J TRADE LLC,3696272,MC-1291519,"1502  W  34TH
HOUSTON,  TX     77018"
KENNY ENRIQUE TREJO,3705741,MC-1298513,"156  RANCH  RD
LAREDO,  TX     78043"
ALL WORLD TRUCKER LLC,3708465,MC-1300524,"64  GOODWIN  AVE  FL  1
NEWARK,  NJ     07112"
HYPERLOOK INC,3714796,MC-1305172,"26  REGENT  CIR  UNIT  D1
SCHAUMBURG,  IL     60193"
BAC CARRIERS INC,3717199,MC-1306952,"13114  SPIVEY  DR
LAREDO,  TX     78045"
ELEVATION LOGISTICS LLC,3717959,MC-1307528,"6242  GLORIA  DR
SACRAMENTO,  CA     95831-1752"
BACI TRANSPORT LLC,3702247,MC-1307545,"3194  PALM  BEACH  BLVD
FORT  MYERS  ,  FL     33916"
PIERCES TRANSPORT,3719492,MC-1308620,"5921  CUDDLES  CT
N  LAS  VEGAS,  NV     89081"
DS-R TRANSPORTATION LLC,3719740,MC-1308805,"2001  E  CEDAR  AVE
ENID,  OK     73701"
ATAT LOGISTICS LLC,3720498,MC-1309342,"8107  PIERSON  ST
DETROIT,  MI     48228"
JOHN GILFORD LLC,3726689,MC-1313906,"8126  RADIANT  STAR
SAN  ANTONIO,  TX     78252"
SOLANO BROKERAGE INC,3729314,MC-1315815,"5365  BOX  R  RANCH  RD
VACAVILLE,  CA     95687"
HFK LOGISTICS LLC,3730681,MC-1316820,"7588  CENTRAL  PARKE  BLVD  STE  311
MASON,  OH     45040"
SHARMA EXPRESS LLC,3732797,MC-1318350,"7878  BATH  CT
REYNOLDSBURG,  OH     43068"
A-PLUS MOBILE HOME MOVERS LLC,3736311,MC-1320902,"4106  KEAVY  RD
LONDON,  KY     40744"
AUSTX TRANSPORTATION LLC,3736511,MC-1321041,"12601  TWISTED  ROOT  DR
MANCHACA,  TX     78652"
B8MAN LOGISTICS INC,3737472,MC-1321726,"3305  E  COUNTY  ROAD  44
MIDLAND,  TX     79705"
CS PYTHON TRANSPORTATION INC,3738803,MC-1322663,"704  PLUMAS  ST
SUSANVILLE,  CA     96130"
BOSS HOGG TRUCKING & TRANSPORT LLC,3742615,MC-1325443,"1420  MCALLISTER  AVE
SACRAMENTO,  CA     95822"
LAG CARRIERS LLC,3745416,MC-1327453,"4844  SPINEPOINT  WAY
DOUGLASVILLE,  GA     30135"
XPRESS ADL LLC,3746157,MC-1328001,"1895  BARKER  CYPRESS  RD  APT  2101
HOUSTON,  TX     77084"
ENDLESS SUMMERS TRANSPORTATION LLC,3748208,MC-1329489,"939  RUTLEDGE  PIKE
BLAINE,  TN     37709"
R & S TRANSPORT SERVICES LLC,3748441,MC-1329656,"15460  MAPLERIDGE  ST
DETROIT,  MI     48205"
DIAMOND TRANSPORT LLC,3748234,MC-1332875,"112  THOMAS  CT
BOWLING  GREEN,  KY     42101"
JONES ENTERPRISE LLC,3753733,MC-1333568,"1056  BRUSHY  CREEK  RD
GEORGETOWN,  MS     39078"
DELIVERY 2 CL0UD 9 LLC,3753774,MC-1333592,"63  HENDRICKSON  AVE
ELMONT,  NY     11003"
BLACK HORSE TRANSPORTATION LLC,3754917,MC-1334428,"220  WOODSTREAM  BLVD
STAFFORD,  VA     22556"
RIZZO BUSINESS SOLUTIONS LLC,3755059,MC-1334534,"11293  RAGING  BROOK  DR
BOWIE,  MD     20720"
A2B CARRIERS LLC,3755380,MC-1334782,"3812  PUMPKIN  SEED  LN
GLEN  ALLEN,  VA     23060"
CHOLICO PRODUCE DISTRIBUTORS INC,3759334,MC-1337675,"6400  E  WASHINGTON  BLVD
COMMERCE,  CA     90040"
AL & TEE TRUCKING LLC,3759397,MC-1337724,"21  BLYTHE  DR
PECKVILLE,  PA     18452"
ATC LOGISTICS LLC,3760520,MC-1338568,"9846  FISHER  BAY  CT
LAS  VEGAS,  NV     89178"
QC GUTTER SUPPLY INC,3761648,MC-1339422,"926  W  3RD  ST
DAVENPORT,  IA     52802"
GILL BROTHER TRANSPORT LLC,3761852,MC-1339573,"3666  JASPER  DR
STERLING  HTS,  MI     48310"
BEST LOGISTIC SERVICE LLC,3763428,MC-1340712,"22244  35TH  PL  S  APT  F204
KENT,  WA     98032"
BLUE ARROW LOGISTICS LLC,3763902,MC-1341049,"850  MEADOW  ROCK  DR
STONE  MTN,  GA     30083"
MULTI STATE LOGISTICS,3764116,MC-1341206,"2195  COLCHESTER  AVE
HOFFMAN  EST,  IL     60192"
HWD EXPRESS LLC,3764592,MC-1341560,"4108  BLOCK  DR  APT  313
IRVING,  TX     75038"
DK'S TIRE & TRUCK REPAIR LLC,3764851,MC-1341755,"174  NEW  LIBERTY  CHURCH  RD
KEVIL,  KY     42053"
MICHEL'S TRANSPORTATION LLC,3764975,MC-1341853,"17  EMBER  LN
WILLINGBORO,  NJ     08046"
BEEJS TRUCKING CO LLC,3765541,MC-1342261,"17350  STATE  HIGHWAY  249  STE  220  PMB  8318
HOUSTON,  TX     77064"
VNM TRUCKING CORP,3766189,MC-1342734,"114  HIDDEN  VALLEY  DR
MERIDEN,  CT     06451"
JON & SAM LLC,3767110,MC-1343389,"227  MILSTEAD  RD
NEWPORT  NEWS,  VA     23606"
TRUCKING GLOBAL LLC,3768094,MC-1344094,"18  N  BELLE  GROVE  RD
CATONSVILLE,  MD     21228"
TURNA BROTHERS INC,3768409,MC-1344329,"2264  N  MARKS  AVE  APT  104
FRESNO,  CA     93722"
BIG HAAS TRUCKING LLC,3769514,MC-1345063,"5296  COUNTY  ROAD  79A
BUTLER,  IN     46721"
RAGNAR TRANSPORTATION LLC,3769821,MC-1345278,"6  CASTLETON  CT
MANALAPAN,  NJ     07726"
GREENWOOD LOGISTIC SOLUTIONS LLC,3769832,MC-1345285,"900  NORTHERN  SHORES  LN
GREENSBORO,  NC     27455"
HARLEY CARPENTER TRUCKING LLC,3771811,MC-1346767,"1940  BEECH  FORK  RD
GRAVEL  SWITCH,  KY     40328"
CRIS-AN EXPEDITE LLC,3772434,MC-1347257,"920  LAKOTA  ST
LAREDO,  TX     78043"
TEMA SUPPLY CHAIN INC,3772858,MC-1347564,"3377  CALIFORNIA  AVE
SIGNAL  HILL,  CA     90755"
IQ MOVING&STORAGE INC,3773052,MC-1347715,"408B  MECO  DR  APT  24
WILMINGTON,  DE     19804"
GOD'S 1 PROPERTY HUNT MANAGED LLP,3773407,MC-1347981,"2725  N  BREMEN  ST
MILWAUKEE,  WI     53212"
JBT GROUP INC,3774141,MC-1348549,"3540  HILLSIDE  CT
HOFFMAN  EST,  IL     60192"
ELAM TRUCKING 18 LLC,3774310,MC-1348676,"627  N  MAIN  ST  APT  214
MEMPHIS,  TN     38107"
MLCP TRANSPORTATION LLC,3775720,MC-1349718,"1103  ADELINE  WAY
CAPITOL  HGTS,  MD     20743"
LEMASTER FAMILY TRANSPORT LLC,3776250,MC-1350122,"635  TOWNSHIP  ROAD  1804
ASHLAND,  OH     44805"
BROTHER EXPRESS CORP,3776797,MC-1350502,"711  N  7TH  ST  FL  1
NEWARK,  NJ     07107"
ACEX LOGISTICS LLC,3777029,MC-1350667,"22  SIR  THOMAS  LN
NEWARK,  DE     19702"
JIINGELI TRANSPORT LLC,3777394,MC-1350937,"2810  145TH  ST  W  APT  115
ROSEMOUNT,  MN     55068"
LIVROD MOTOR GROUP LLC,3778030,MC-1351387,"420  NW  105TH  ST
MIAMI,  FL     33150"
CLUB ELITE NG LLC,3778142,MC-1351467,"5753  FALKLAND  PL
CAPITOL  HGTS,  MD     20743"
PEDRO M LOGISTICS LLC,3778156,MC-1351477,"174  BRIGHTON  AVE
PERTH  AMBOY,  NJ     08861"
PALMETTO TRANSPORT LLC,3778510,MC-1351750,"1810  LATONA  ST
PHILADELPHIA,  PA     19146"
MY FAMILY TRANSPORT LIMITED LIABILITY COMPANY,3780120,MC-1352846,"2004  ELKCAM  BLVD
DELTONA,  FL     32725"
BEECHER'S TRUCKING LLC,3780455,MC-1353096,"2150  STATE  HIGHWAY  25
BERNIE,  MO     63822"
NATHANIEL MELGOSA,838144,MC-1353198,"1050  COLLINS  ROAD
GILLETTE,  WY     82716"
RAINBOW PARTY BUS LLC,3781479,MC-1353827,"3  MOUNT  PLEASANT  TER  APT  3
ROXBURY,  MA     02119"
AFFORDABLE ELITE EXPRESS LLC,3781505,MC-1353846,"7782  PARK  RUN  RD
FORT  WORTH,  TX     76137"
JOTS TRANSPORTATION,3782374,MC-1354474,"127  3RD  ST
SOUTH  ORANGE,  NJ     07079"
J&J FIRST CLASS LOGISTICS LLC,3782694,MC-1354704,"548  KNOWLTON  ST
MARIETTA,  GA     30066"
GOLDEN FREIGHT LLC,3782882,MC-1354831,"13441  SOLEEN  RD
EL  PASO,  TX     79938"
HORNER'S TRANSPORT SERVICE LLC,3783372,MC-1355163,"6957  BETHEL  SOUTH  FORK  RD
GRAHAM,  NC     27253"
GDS LOGISTICS LLC,3783920,MC-1355529,"355  ENFIELD  LN
BEAUMONT,  TX     77707"
LION7 TRUCKING LLC,3783906,MC-1355551,"622  CLEARWOOD  DR  RICHARDSON  TX  75081-6526
RICHARDSON,  TX     75081"
ZENNA TRANSPORTATION SERVICES LLC,3784196,MC-1355813,"3825  LADSON  RD  APT  2205
LADSON,  SC     29456"
DAX GROWTH AND DEVELOPMENT LLC,3784593,MC-1356045,"1307  RACQUET  CLUB  NORTH  APT  B
INDIANAPOLIS,  IN     46260"
ANTONIO SANCHEZ AND ELIJAH OLIVER,3784814,MC-1356204,"2916  EL  PASO  WAY
ANTIOCH,  CA     94509"
REALITE LA VIE LLC,3784903,MC-1356269,"2022  WINDROE  DR
CLARKSVILLE,  TN     37042"
WOODEN NICKEL FREIGHT & LOGISTICS LLC,3785126,MC-1356551,"918  AKERS  RIDGE  DR  SE  STE  112
ATLANTA,  GA     30339"
TEAM ROAD LTD,3785684,MC-1356838,"618  GREAT  BEND  DR
DIAMOND  BAR,  CA     91765"
BILLSIND FREIGHT LLC,3785702,MC-1356851,"1079  PERKINS  DR
ALEXANDRIA,  KY     41001"
MSV LOGISTICS LLC,3785893,MC-1356977,"3504  ROAD  84
PASCO,  WA     99301"
JJAB TRANSPORT LLC,3785897,MC-1356980,"5703  RED  CACTUS  CT
ARLINGTON,  TX     76017"
LANCA LOGISTICS LLC,3786125,MC-1357154,"2872  VICTORIA  DR
MARRERO,  LA     70072"
KING & QUEEN MOVERS LLC,3786487,MC-1357415,"113  SAMMY  CIR
GRIFFIN,  GA     30223"
CARIBBEANS LOGISTIC LLC,3786521,MC-1357443,"1152  PALMER  AVE
SCHENECTADY,  NY     12309"
CNS HAULING LLC,3786566,MC-1357472,"538  BLACKSBURG  RD
FINCASTLE,  VA     24090"
DNR LOGISTICS LLC,3786608,MC-1357491,"199  JACOB  XING
ROCKWALL,  TX     75087"
TIUS 3PL INC,3786902,MC-1357712,"8390  EDGEWOOD  ST
CHINO,  CA     91708"
HADDA CARRIER INC,3786951,MC-1357748,"971  W  UPLAND  AVE  APT  A
SAN  PEDRO,  CA     90731"
D BAILEY ENTERPRISE LLC,3787116,MC-1357867,"3358  N  FARRINGTON  DR
BATON  ROUGE,  LA     70814"
CIMR SALES AND SERVICE LLC,3787170,MC-1357912,"2623  E  HIGHWAY  37
TUTTLE,  OK     73089"
TANZANITE LOGISTIC LLC,3787324,MC-1358023,"948  DUNLORING  CT
UPPR  MARLBORO,  MD     20774"
SMART DALLAS TRUCKING LLC,3787364,MC-1358052,"621  TOWNE  HOUSE  LN
RICHARDSON,  TX     75081"
TRUE TRUCKERS INC,3787569,MC-1358215,"11  CITYSIDE  GREEN  NE  CALGARY
CALGARY,  AB     T3N  1H9"
KOOLS AUTO SALES AND TRANSPORT LLC,3787987,MC-1358537,"800  BYRUM  RD  #  2
BLYTHEVILLE,  AR     72315"
AA MOVING & SERVICES CORP,3788236,MC-1358708,"18301  S  DIXIE  HWY  APT  439
MIAMI,  FL     33157"
SLINGSHOT TRUCKING LLC,3788742,MC-1359110,"112  COMET  CT
EUTAWVILLE,  SC     29048"
CAIRO EXPRESS LLC,3492142,MC-1359295,"2101  LEWIS  PULLER  DRIVE
BAKERSFIELD,  CA     93301-4152"
V-HARPERS LLC,3789127,MC-1359373,"15064  BARBARA  DR
GULFPORT,  MS     39503"
SHAWN'S LAWNS LLC,3789228,MC-1359459,"7336  BISON  ST
WESTLAND,  MI     48185"
LJ ENGLISH ENTERPRISES LLC,3789703,MC-1359788,"21  WINDER  AVE
TRENTON,  NJ     08609"
SCARBOROUGH TRANSPORTATION LLC,3789895,MC-1359945,"2098  WOODLAND  BROOK  DR
DACULA,  GA     30019"
C-PAGE TRANSPORT,3790042,MC-1360065,"14726  WOODLAND  DAWN  TRL
HUMBLE,  TX     77396"
MCH LOGISTICS LLC,3790068,MC-1360080,"7906  VALLEYVIEW  DR
ROWLETT,  TX     75089"
CAN 2 LLC,3790078,MC-1360086,"1401  MAGRUDER  ST  APT  127
EL  PASO,  TX     79925"
PATHWAY GLOBAL LOGISTICS LLC,3790503,MC-1360414,"9122  MEMORIAL  VALLEY  DR
SPRING,  TX     77379"
J & J CROP FARMS LLC,3790547,MC-1360449,"15145  N  4800  W
GARLAND,  UT     84312"
TRIPLE G TOWING LLC,3790730,MC-1360584,"970  E  120TH  AVE  N
BELLE  PLAINE,  KS     67013"
ROAD RUNNERZ TRANSPORT LLC,3790798,MC-1360642,"14380  NE  12TH  AVE
NORTH  MIAMI,  FL     33161"
TCG SOLUTIONS LLC,3790974,MC-1360739,"1506  DIAMOND  CT  APT  11
FT  WRIGHT,  KY     41011"
EFFICIENT LOGISTICS LLC,3790982,MC-1360758,"10211  E  HIGHWAY  80
MIDLAND,  TX     79706"
BRIAN NEUBERT TRUCKING LLC,3791525,MC-1361125,"17145  COUNTY  ROAD  J
WAUSEON,  OH     43567"
J & B HOTSHOT LLC,3791579,MC-1361160,"910  N  FOWLER  ST
HOBBS,  NM     88240"
ON WINGS LOGISTICS LLC,3791710,MC-1361264,"9834  N  MACARTHUR  BLVD  APT  1614
IRVING,  TX     75063"
ADAMS BUICK GMC INC,3791869,MC-1361393,"1017  BEREA  RD
RICHMOND,  KY     40475"
RIDE ON TIME TRANSPORTATION LLC,3783337,MC-1361508,"2290  BROCK  ST
MISSION,  TX     78772"
TNA LOGISTICS LLC,3792141,MC-1361570,"1507  22ND  ST
PHENIX  CITY,  AL     36867"
ZT TRUCKING LLC,3792183,MC-1361594,"1698  COUNTY  ROAD  171
SCOTTOWN,  OH     45678"
FREEMAN TRANSPORTATION LLC,3792394,MC-1361729,"404  HENRICO  BLVD
RICHMOND,  VA     23222"
REAL PRISTINE LOGISTICS LLC,3792512,MC-1361843,"3801  SW  160TH  AVE  APT  304
MIRAMAR,  FL     33027"
MOUNTAIN DOG TRUCKING INC,3792633,MC-1361928,"77517  LOWES  CANYON  RD
SAN  MIGUEL,  CA     93451"
DN TRANS INC,3792762,MC-1362048,"2004  MCCORMICK  DR
GREENWOOD,  IN     46143"
MTP TRANSPORTATION LLC,3792888,MC-1362143,"50  JOHNSON  ST  APT  3
LYNN,  MA     01902"
B AND S FREIGHT INC,3792971,MC-1362188,"10002  SILVERTHORNE  DR
BAKERSFIELD,  CA     93314"
THE SHIPPING FIRM,3793024,MC-1362217,"707  GROCE  ST
OPELIKA,  AL     36801"
DORY XPRESS INC,3793232,MC-1362379,"1415  W  22ND  ST  FL  TOWER
OAK  BROOK,  IL     60523"
FREEROAD LOGISTICS LLC,3793367,MC-1362492,"13023  13TH  ST  APT  A
CHINO,  CA     91710"
JDM TRANS LLC,3793562,MC-1362636,"923  DOVER  DR  APT  1220
GREENWOOD,  IN     46142"
TRANSWAY AUTO LLC,3793511,MC-1362644,"16  N  KINZER  RD
KINZERS,  PA     17535"
MIRACLE CARGO INC,3793840,MC-1362853,"1536  ENGLEWOOD  CT
MAINEVILLE,  OH     45039"
WEBB EXPRESS INC,3794013,MC-1362951,"901  E  104TH  ST  APT  111A
CHICAGO,  IL     60628"
BEYOND GEEKED LLC,3794276,MC-1363189,"5706  JAMERSON  DR
ATLANTA,  GA     30349"
LEADING SYSTEM LOGISTICS LLC,3794526,MC-1363380,"3321  OBSERVATORY  AVE
CINCINNATI,  OH     45208"
BOOK & GO INC,3794546,MC-1363395,"45430  SPAHN  LN
LANCASTER,  CA     93535"
ACE TRANSPORT LOGISTICS LLC,3794805,MC-1363581,"1604  SE  LONG  PL
LEES  SUMMIT,  MO     64063"
AAK TRUCKING CORPORATION,3794934,MC-1363667,"10916  120TH  ST
S  OZONE  PARK,  NY     11420"
DAB TRANSPORTATION LLC,3794952,MC-1363683,"908  SAINT  CATHERINE  DR
WAYCROSS,  GA     31501"
RIOS FAMILY TRANSPORT LLC,3794981,MC-1363704,"344  APPLEGATE  DR
OAKDALE,  CA     95361"
INTER FREIGHT LLC,3795009,MC-1363725,"1409  INDEPENDENCE  AVE
KANSAS  CITY,  MO     64106"
ROCHA CONSTRUCTION & EARTHWORKS INC,3009948,MC-1363735,"502  NORTH  STREET
PESCADERO,  CA     94060"
TRW TRUCKING & LOGISTICS LLC,3795274,MC-1363921,"6623  S  RHODES  AVE  APT  2
CHICAGO,  IL     60637"
UNKONKURD SAVAGE HAULING LLC,3795629,MC-1364184,"210  DE  SOTO  AVE
CLEWISTON,  FL     33440"
HOLLAND ELITE TRANSPORTATION LLC,3795803,MC-1364305,"103  SELFRIDGE  RD
MCDONOUGH,  GA     30252"
HOLY CITY LOGISTICS AND WAREHOUSING LLC,3795863,MC-1364350,"3035  YACHTSMAN  DR
MT  PLEASANT,  SC     29466"
WILL OF FIRE LLC,3795957,MC-1364418,"4213  PLANTATION  TRACE  DR
DULUTH,  GA     30096"
SPARKLE LOGISTICS LLC,3796375,MC-1364689,"5204  W  VILLAGE  PKWY  STE  11  PMB  111
ROGERS,  AR     72758"
EMILE TRANSPORT LLC,3796431,MC-1364724,"856  NW  47TH  ST
DEERFIELD  BCH,  FL     33064"
ABOVE ALL COLLISION CENTER LLC,3796674,MC-1364897,"45  CHENELL  DR
CONCORD,  NH     03301"
WILKIE TRANSPORT & AUTO LLC,3796826,MC-1365006,"4123  OLD  LAURENS  RD
GREENWOOD,  SC     29649"
C2L LOGISTICS LLC,3796864,MC-1365030,"126  N  HILLCREST  DR
PALESTINE,  TX     75801"
UNITED SHIPPING HOLDINGS LLC,3796943,MC-1365096,"2  CARMEL  RIDGE  CIR  APT  204
ASHEVILLE,  NC     28806"
FELLER TRANSPORTATION LLC,3797048,MC-1365173,"4800  OHARA  DR
EVANSVILLE,  IN     47711"
RIVA LINES INC,3797182,MC-1365269,"1985  HENDERSON  RD  PMB  3209  PMB  3209
COLUMBUS,  OH     43220"
C&D EXPRESS INC,3797206,MC-1365287,"2731  ERRINGER  RD  APT  64
SIMI  VALLEY,  CA     93065"
BEN TRANS INC,3797208,MC-1365289,"1386  CHELSA  DR
POMONA,  CA     91767"
JDT GROUP LLC,3797272,MC-1365337,"1066  PARK  PLACE
MECHANICSBURG,  PA     17055"
U&G TRUCKING COMPANY LLC,3797437,MC-1365452,"5050  TANGLEWOOD  LN  APT  904
ODESSA,  TX     79762"
PRIME TRUCKING SERVICES LLC,3797642,MC-1365625,"4901  W  24TH  ST
CICERO,  IL     60804"
B&B EXPRESS TRUCKING INC,3797750,MC-1365701,"176  N  LECLAIRE  AVE
CHICAGO,  IL     60644"
POLK'S RELIABLE DELIVERY SERVICES LLC,3797931,MC-1365852,"3456  CHRISTY  LN
BARTLETT,  TN     38135"
PRETTY TRANSPORT INC,3797950,MC-1365863,"8001  47TH  ST
LYONS,  IL     60534"
POCKET CHANGE TRANSPORT SERVICES LLC,3798261,MC-1366093,"1274  WEBLING  CIR
GREENCASTLE,  PA     17225"
VALLEY BROTHERS TRUCKING LLC,3798478,MC-1366244,"1002  W  16TH  ST
SCOTTSBLUFF,  NE     69361"
BUCKSHOT SHIPPING LLC,3798722,MC-1366426,"123  DOGWOOD  DR
HATTIESBURG,  MS     39402"
CAMPBELL & CAMPBELL TRUCKING LLC,3799267,MC-1366828,"10328  BOCA  ENTRADA  BLVD  APT  221
BOCA  RATON,  FL     33428"
BOWHAUL LLC,3799449,MC-1366969,"17727  W  LILAC  ST
GOODYEAR,  AZ     85338"
NCR LOGISTICS LLC,3799483,MC-1366996,"900  HARRISON  AVE
PITTSBURGH,  PA     15221"
XV LOGISTICS LLC,3799636,MC-1367111,"1938  WYOTT  DR  #  D-3
CHEYENNE,  WY     82007"
READY ROCK TRANSPORT LLC,3799860,MC-1367270,"902  W  4TH  ST  APT  415
CHARLOTTE,  NC     28202"
BELLSTONE DELIVERY SERVICES LLC,3800072,MC-1367438,"1720  TREETOP  TRL  APT  A
AKRON,  OH     44313"
BIG BUG TRANSPORTATION LLC,3800111,MC-1367468,"9118  KINNEL  LN
TOMBALL,  TX     77375"
KOSHI LOGISTICS LLC,3800458,MC-1367720,"339  ISAAC  THARP  ST
PATASKALA,  OH     43062"
PRIORITYONE PROPERTY PROFESSIONALS LLC,3800497,MC-1367744,"5  WESTWOOD  DR
CARMEL,  NY     10512"
RICHARDSON & WHITESIDE TRUCKING LLC,3800507,MC-1367752,"6  EUCALYPTUS  AVE
N  CHARLESTON,  SC     29418"
WHATLEY LOGISTICS LLC,3800566,MC-1367787,"1441  N  BLUEGROVE  RD
LANCASTER,  TX     75134"
WE HAVE A TARGET - WHAT LLC,3800567,MC-1367788,"1004  MAYBURN  ST
DEARBORN,  MI     48128"
ROOTS OF HAYES-HALSEY-DAVIS LLC,3800597,MC-1367813,"229  BARHAM  LN
HENDERSON,  NC     27537"
DIESEL DEMONS LLC,3800952,MC-1368080,"22325  KNOLLWOOD  DR
FLAT  ROCK,  MI     48134"
ANA TRUCKING LLC,3800967,MC-1368093,"321  ATHOL  AVE  APT  5
OAKLAND,  CA     94606"
Y&O SUPPLIES AND SERVICES LLC,3801032,MC-1368137,"13010  RIDGELINE  BLVD  APT  5103
CEDAR  PARK,  TX     78613"
BOYCHUK VENTURES USA INC,3801102,MC-1368194,"7801  E  DAVENPORT  DR
SCOTTSDALE,  AZ     85260"
BLAZING FAST TRANSPORTATION LLC,3801112,MC-1368200,"2315  STANLEY  AVE
DAYTON,  OH     45404"
JJSM SERVICES LLC,3801205,MC-1368269,"79  GREENWOOD  AVE
PEQUANNOCK,  NJ     07440"
CHARLES TCB,3801490,MC-1368483,"W4936  COUNTY  ROAD  O
MEDFORD,  WI     54451"
JMB FREIGHT LLC,3801539,MC-1368516,"205  JULIA  CT
FAYETTEVILLE,  GA     30214"
1776 LOGISTICS LLC,3801872,MC-1368761,"605  NW  ARLINGTON  AVE
LAWTON,  OK     73507"
T & M ENVIRONMENTAL TRANSPORT LLC,3801962,MC-1368830,"408  S  BEARD  AVE
SHAWNEE,  OK     74801"
BLACKJACK TRANSPORTS LLC,3802118,MC-1368930,"1020  HOWELL  ST
WHITE  PLAINS,  GA     30678"
SYNERGY LOGISTICS SOLUTION LLC,3802272,MC-1369050,"1001  BRICKELL  BAY  DR  STE  2700
MIAMI,  FL     33131"
LEGENDARYEXPORTS LLC,3802347,MC-1369107,"7777  ADELAIDE  ST  APT  4043
FRISCO,  TX     75034"
LOAD TOTERS LLC,3802406,MC-1369145,"4532  HENDERSON  RD
BYRAM,  MS     39272"
BACKROAD BANDIT LLC,3802451,MC-1369180,"290  TIMBERLINE  DR
MADISON,  MS     39110"
USA ERRAND SERVICE INC,3802467,MC-1369189,"1111  S  LAFLIN  ST  APT  608
CHICAGO,  IL     60607"
RESENDIZ TRUCKING LLC,3802855,MC-1369444,"137  N  3900  E
RIGBY,  ID     83442"
DLR TRANSPORTATION LLC,3803011,MC-1369549,"4519  LAURELDALE  RD
HOUSTON,  TX     77041"
DAT TRANSPORT & LOGISTICS LLC,3803047,MC-1369575,"9120  POST  CANYON  LN  APT  5205
CHARLOTTE,  NC     28213"
ALANSIDE INC,3803127,MC-1369636,"7900  INTERNATIONAL  DR  STE  300
BLOOMINGTON,  MN     55425"
T BRISCOE LOGISTICS LLC,3803283,MC-1369744,"300  E  LOMBARD  ST  STE  840
BALTIMORE,  MD     21202"
AALOGISTIX INC,3803390,MC-1369821,"2320  N  NC  HIGHWAY  87
ELON,  NC     27244"
RIZA LOGISTICS LLC,3803428,MC-1369848,"70  ROSEDALE  DR
BRIDGETON,  NJ     08302"
80Z BABIEZ LLC,3803454,MC-1369868,"11517  S  BUDLONG  AVE  APT  303
LOS  ANGELES,  CA     90044"
WGH EXPRESS INC,3803456,MC-1369869,"1780  BECKHAM  ST
CUMMING,  GA     30041"
NCC LOGISTICS USA INC,3803514,MC-1369904,"18W140  BUTTERFIELD  RD  STE  360
OAKBROOK  TER,  IL     60181"
FISCHER & SON TRANSPORT INC,3104683,MC-1369907,"152303  STARLING  LN
WAUSAU,  WI     54401-7465"
LEGLE ONE TRANSPORT LLC,3803523,MC-1369910,"8409  RIVER  ST  NE
ALBUQUERQUE,  NM     87113"
A-TEAM TRANSPORTATION LLC,3803592,MC-1369959,"6547  SHEPHERD  OAKS  ST
LAKELAND,  FL     33811"
F C CABRALES TRUCKS LLC,3804169,MC-1370376,"288  W  76TH  ST  APT  #  105
HIALEAH,  FL     33014"
